transfer_id,unit_id,from_facility_id,to_facility_id,transfer_date
80,820,35,42,2025-06-07
81,600,45,23,2025-08-21
82,66,16,37,2025-09-25
83,887,42,11,2025-10-31
84,405,47,19,2025-09-23
85,307,39,50,2025-06-26
86,164,44,7,2025-08-19
87,721,15,21,2025-03-16
88,910,24,42,2025-06-03
89,102,47,37,2025-11-11
90,583,20,29,2025-05-11
91,597,41,19,2025-06-07
92,565,15,14,2025-06-28
93,45,12,33,2025-12-30
94,138,33,39,2025-06-02
95,707,37,34,2025-04-17
96,83,50,25,2025-07-05
97,280,27,9,2025-11-29
98,314,20,22,2025-07-09
99,41,20,5,2026-02-12
100,729,18,30,2025-06-06
101,98,17,13,2025-07-26
102,38,34,28,2025-03-28
103,974,25,17,2025-09-12
104,164,39,7,2025-04-13
105,417,24,43,2025-03-07
106,933,21,45,2026-02-20
107,431,8,36,2025-04-27
108,172,20,30,2026-01-06
109,502,26,41,2025-04-30
110,208,32,44,2025-11-15
111,894,42,27,2025-04-28
112,339,18,22,2026-01-03
113,949,6,42,2025-03-29
114,178,14,31,2025-11-11
115,873,42,25,2025-10-02
116,2,6,32,2025-07-03
117,227,8,13,2025-10-11
118,301,17,14,2026-02-07
119,719,38,46,2025-12-20
120,372,45,34,2025-04-08
121,212,40,8,2025-10-12
122,71,14,11,2025-03-26
123,416,22,49,2025-05-29
124,218,50,47,2025-09-22
125,399,32,13,2025-05-31
126,460,41,15,2025-08-07
127,69,47,25,2025-06-11
128,700,8,11,2025-05-02
129,322,30,37,2025-11-03
130,767,2,3,2026-01-01
131,319,32,26,2025-07-27
132,57,36,47,2025-12-14
133,457,38,27,2026-01-25
134,360,30,34,2025-07-13
135,914,34,14,2026-02-09
136,819,37,25,2025-09-17
137,712,7,47,2025-03-02
138,487,11,30,2025-04-22
139,519,33,43,2025-08-29
140,979,6,1,2025-10-10
141,885,18,11,2026-01-21
142,99,4,18,2026-01-24
143,207,31,41,2025-12-12
144,208,47,50,2025-08-14
145,242,1,32,2025-10-23
146,271,36,32,2026-01-10
147,864,46,11,2025-05-23
148,617,20,6,2025-04-23
149,965,5,25,2025-11-08
150,184,12,23,2025-08-23
151,686,24,2,2026-01-04
152,871,11,24,2025-11-02
153,269,23,38,2026-02-19
154,40,28,29,2025-12-29
155,703,37,11,2026-01-26
156,78,27,35,2025-09-11
157,866,32,19,2025-12-05
158,642,13,39,2025-11-26
159,532,34,42,2025-05-03
160,753,21,35,2025-07-14
161,12,26,16,2025-12-19
162,21,12,32,2025-09-25
163,502,18,3,2025-10-05
164,924,40,6,2025-03-10
165,701,35,18,2025-10-10
166,808,19,45,2026-01-11
167,426,21,24,2025-07-03
168,209,36,49,2026-01-29
169,916,16,46,2025-06-04
170,7,43,37,2025-11-07
171,566,11,1,2025-02-25
172,461,10,5,2026-02-09
173,578,22,24,2025-03-26
174,650,30,34,2025-11-13
175,899,30,34,2025-04-26
176,237,16,11,2025-05-24
177,329,44,47,2025-05-22
178,728,2,36,2026-01-19
179,509,41,38,2025-07-18
180,29,17,1,2025-04-01
181,165,3,24,2025-08-13
182,433,26,7,2025-06-20
183,696,30,40,2025-08-18
184,49,32,25,2026-02-17
185,275,13,28,2025-06-24
186,918,2,22,2025-03-20
187,118,14,33,2025-12-26
188,936,40,48,2025-11-02
189,703,50,2,2025-03-24
190,485,23,29,2025-03-06
191,272,48,43,2025-12-15
192,590,44,41,2025-07-10
193,173,13,49,2025-12-27
194,246,32,22,2025-11-25
195,556,22,11,2025-10-18
196,739,28,17,2025-08-02
197,191,43,6,2026-01-11
198,129,29,41,2025-05-23
199,527,21,23,2025-05-31
200,926,1,12,2025-09-08
201,915,44,11,2025-06-23
202,999,25,10,2025-10-02
203,619,41,22,2025-09-02
204,42,41,36,2026-02-05
205,797,42,3,2025-09-29
206,818,3,7,2025-10-17
207,501,4,14,2025-12-29
208,992,35,28,2025-05-31
209,434,4,14,2025-12-03
210,874,8,27,2025-10-29
211,820,18,22,2026-01-26
212,418,16,36,2025-09-07
213,768,50,50,2025-06-23
214,745,7,47,2025-08-04
215,643,39,25,2025-10-28
216,412,22,42,2026-01-03
217,771,18,38,2026-01-06
218,151,25,10,2025-04-16
219,59,35,25,2025-06-20
220,937,31,17,2025-04-30
221,386,19,6,2025-06-27
222,397,30,40,2025-12-22
223,249,47,30,2025-08-06
224,115,27,4,2025-05-30
225,518,17,34,2025-11-14
226,650,50,28,2025-04-24
227,415,23,4,2025-06-25
228,406,50,43,2026-01-02
229,625,38,47,2026-02-09
230,631,48,35,2025-05-27
231,782,36,11,2026-01-13
232,918,46,21,2025-12-15
233,461,21,43,2025-03-06
234,205,5,8,2025-09-06
235,267,22,17,2026-02-10
236,436,1,38,2025-04-04
237,139,44,26,2026-01-23
238,31,48,40,2025-05-27
239,946,32,38,2025-08-22
240,437,46,10,2025-10-11
241,957,33,47,2025-10-30
242,535,49,1,2025-08-20
243,648,44,30,2025-03-29
244,439,32,3,2025-11-17
245,700,15,6,2025-09-01
246,84,37,42,2025-11-24
247,555,4,42,2025-06-26
248,256,15,34,2025-07-21
249,2,31,28,2025-06-21
250,898,15,49,2025-02-25
251,38,32,40,2025-05-06
252,309,49,45,2025-10-28
253,123,1,41,2025-10-07
254,879,17,41,2025-05-24
255,150,33,34,2025-09-08
256,709,11,38,2025-05-01
257,267,40,21,2025-07-09
258,37,32,32,2025-10-26
259,982,37,46,2026-01-17
260,534,41,23,2025-06-20
261,771,33,19,2025-10-02
262,522,12,16,2026-02-03
263,827,15,34,2025-08-01
264,125,8,37,2025-08-23
265,653,14,22,2025-09-14
266,154,17,19,2025-08-27
267,654,35,48,2025-03-03
268,215,9,19,2025-08-09
269,748,34,15,2025-07-07
270,325,42,30,2026-02-08
271,615,29,49,2025-03-28
272,390,40,25,2026-01-13
273,217,43,1,2025-03-15
274,827,22,30,2025-03-01
275,796,47,43,2025-11-13
276,346,1,40,2025-06-05
277,346,47,50,2025-04-25
278,653,12,6,2025-03-16
279,426,21,8,2025-05-23
280,366,46,49,2025-04-01
281,802,10,46,2025-03-21
282,359,6,27,2025-08-30
283,656,36,20,2025-08-24
284,585,41,14,2025-09-09
285,10,35,31,2025-10-24
286,556,15,6,2025-12-08
287,205,34,22,2025-10-08
288,802,50,48,2025-11-15
289,241,20,7,2025-07-29
290,545,10,14,2025-05-22
291,466,23,5,2025-03-29
292,539,12,1,2025-10-28
293,806,25,18,2025-12-25
294,336,49,15,2025-08-22
295,802,47,43,2025-08-19
296,537,47,12,2025-03-21
297,885,39,46,2026-02-08
298,868,14,10,2025-09-27
299,235,30,36,2025-11-07
300,27,30,2,2025-03-14
301,342,30,2,2025-06-15
302,535,50,25,2025-05-10
303,175,35,42,2025-04-04
304,141,34,24,2025-04-23
305,226,13,49,2026-01-09
306,713,37,15,2025-03-29
307,215,44,30,2026-01-02
308,473,1,28,2025-03-19
309,844,33,29,2025-05-08
310,779,10,16,2026-02-24
311,98,49,32,2025-07-29
312,723,39,15,2025-03-30
313,571,4,43,2025-06-26
314,372,21,45,2025-08-22
315,570,29,24,2025-12-14
316,234,46,30,2025-07-22
317,188,16,20,2025-03-27
318,858,47,23,2025-03-17
319,625,39,9,2026-01-06
320,880,35,11,2025-10-05
321,385,10,38,2025-10-20
322,414,35,28,2025-09-10
323,645,36,8,2026-02-18
324,395,28,1,2025-10-27
325,926,33,4,2026-01-03
326,772,17,10,2025-03-13
327,264,44,14,2026-02-24
328,506,20,33,2025-08-31
329,584,7,1,2026-01-24
330,393,1,1,2025-11-07
331,964,19,10,2025-04-06
332,278,7,43,2025-05-23
333,977,7,37,2025-05-18
334,690,15,45,2025-09-21
335,495,29,16,2025-09-15
336,235,18,44,2025-09-30
337,867,48,25,2025-11-03
338,125,10,5,2025-12-03
339,996,17,21,2025-08-30
340,739,21,26,2025-10-02
341,113,42,20,2025-12-04
342,951,41,45,2025-10-20
343,255,6,16,2025-08-07
344,486,17,31,2025-11-24
345,808,41,26,2026-01-17
346,22,45,28,2026-02-18
347,549,33,18,2025-11-26
348,176,16,44,2025-07-29
349,710,2,17,2025-06-27
350,183,6,12,2025-12-26
351,540,32,39,2025-10-06
352,684,6,38,2025-03-04
353,168,50,4,2025-04-18
354,727,25,36,2025-10-25
355,232,42,14,2025-08-18
356,531,4,3,2025-11-05
357,250,41,14,2025-11-13
358,160,13,20,2025-09-30
359,892,20,50,2025-03-25
360,897,16,42,2026-02-19
361,633,8,18,2025-05-17
362,107,26,41,2026-01-09
363,957,36,23,2025-07-04
364,990,30,21,2026-01-28
365,134,7,21,2025-06-15
366,647,33,16,2025-10-26
367,1,40,49,2026-02-20
368,976,36,29,2025-03-26
369,548,32,1,2025-12-02
370,633,10,40,2025-07-15
371,102,5,41,2025-08-03
372,392,40,11,2025-03-01
373,829,42,40,2025-07-23
374,663,24,6,2025-11-14
375,776,34,2,2025-11-17
376,474,24,12,2025-09-26
377,202,6,23,2025-09-20
378,800,44,34,2025-08-02
379,200,40,3,2025-05-19
380,240,6,34,2025-11-22
381,602,40,40,2025-10-17
382,378,50,17,2025-07-21
383,932,41,2,2025-07-02
384,753,9,35,2025-08-06
385,36,7,43,2025-11-08
386,715,21,27,2025-03-02
387,794,32,38,2025-05-24
388,279,48,27,2025-04-03
389,661,34,36,2026-02-14
390,951,24,34,2025-03-12
391,946,22,47,2026-02-24
392,464,28,16,2025-03-25
393,332,12,35,2025-05-11
394,910,35,5,2025-09-18
395,63,17,26,2025-09-01
396,462,15,30,2025-12-05
397,343,7,39,2025-04-15
398,148,16,37,2025-12-23
399,513,47,12,2026-02-05
400,901,1,41,2025-03-25
